id,name,shortName,abbreviation,teamType,location,website,parentLeague,establishedDate,disbandedDate,genus,domain
"63224"," Easo Avengers Roller Derby"," Easo Avengers","EASO","Travel Team","Donostia-San Sebastián, Spain","https://www.facebook.com/profile.php?id=100008131933989&sk=about","","","","Womens","Europe"
"32558"," Les Jules Vénères - Men's Roller Derby from Loire-Atlantique","Jules Vénères","RDMN","Travel Team","Nantes, France","https://www.facebook.com/lesjulesveneres?ref=hl","","","","Mens","Europe"
"76336","10th Mountain B Team","","","B Team","","","23441","2016-03-01","","Womens","USA"
"23441","10th Mountain Roller Dolls","10th Mtn.","10TH","Travel Team","Eagle, CO","http://www.10thmountainrollerdolls.com/","","2011-05-01","","Womens","USA"
"21146","12 Gauge Rage","","","Home Team","","","3470","","2015-01-11","Womens","USA"
"56216","120 Segundos","120 Segundos","120S","Travel Team","Chile","https://www.facebook.com/120segundosrd/info","","2014-03-11","2015-11-12","Mens",""
"25016","2x4 Roller Derby","2x4","2X4","Travel Team","Buenos Aires, Buenos Aires, Argentina","http://www.2x4rollerderby.com.ar/","","2010-01-01","","Womens",""
"61170","301 Derby Dames","301 Derby","301DD","Travel Team","Southern Maryland, MD","http://www.301derbydames.com/","","","","Womens","USA"
"17609","306th Bombshell Battalion","","","Home Team","","","9830","2012-07-01","","Womens","Canada"
"25832","4 Corners Rollergirls","4 Corners","4CRG","Travel Team","Cortez, CO","https://www.facebook.com/4CornersRollerGirls/info","","2011-04-10","2015-07-01","Womens","USA"
"21560","5-H8-5s","","","Home Team","","","5919","","2015-01-01","Womens","USA"
"11463","519ers","","","Home Team","","http://bordercitybrawlers.com/519ers/","10009","","2014-08-11","Womens","Canada"
"52864","575 Roller Derby","575 Roughnecks","575","Travel Team","Hobbs, NM","https://www.facebook.com/575rollerbabes","","2011-07-01","","Womens","USA"
"8607","580 Rollergirls","580","580RG","Travel Team","Lawton, OK","http://580rollergirls.com/","","2010-01-01","","Womens","USA"
"9798","709 Derby Girls","709 Derby Girls","709","Travel Team","St. John's, NL, Canada","http://709derbygirls.com","","2009-06-01","2014-06-09","Womens","Canada"
"26100","7even Hills City Rollers","7even Hills","7HR","Travel Team","Lisbon, Portugal","http://www.facebook.com/7evenHillsCityRollers","","","","Womens","Europe"
"9595","8 Queen Wheelers","","","Home Team","","http://www.foxcityzfoxz.com/8queenwheelers.html","3640","","2015-01-01","Womens","USA"
"21476","A'Salt Creek B Team","","","B Team","","","20988","","2012-01-01","Womens","USA"
"20988","A'Salt Creek Roller Girls","A'Salt Creek","ACRG","Travel Team","Casper, WY","http://asaltcreekrollergirls.com/","","2009-11-04","","Womens","USA"
"13204","A-Stars B Team","","","B Team","","http://torontorollerderby.com/baystreetbruisers.php","4739","","","Womens","Canada"
"12251","A-Town Asylum","","","Home Team","","http://www.centralcoastrollerderby.com/team.php?id=1","3463","","2015-12-09","Womens","USA"
"45846","A-Town Roller Derby","A-Town","ATRD","Travel Team","Anderson, IN","https://www.facebook.com/pages/A-Town-Roller-Derby/246591828821294?id=246591828821294&sk=info","","2013-09-03","","Womens","USA"
"25383","A-Town Roller Girlz","A-Town","ATRG","Travel Team","Aberdeen, SD","https://www.facebook.com/pages/A-Town-Roller-Girlz/136130006457934?sk=info","","2011-03-01","","Womens","USA"
"6700","AAA","","","B Team","","","3452","","","Womens","USA"
"36855","Aalborg Roller Derby","Aalborg","ARD","Travel Team","Aalborg, Denmark","http://aalborgrollerderby.dk","","","","Womens","Europe"
"17977","Aarhus Derby Danes","Aarhus","ADD","Travel Team","Aarhus, Denmark","http://aarhusderbydanes.com/","","","","Womens","Europe"
"40601","Aarhus Rollin' Menace","Aarhus Menace","ARM","Travel Team","Aarhus, Denmark","https://www.facebook.com/MerbyAarhus","","","2015-09-01","Mens","Europe"
"11371","Abilene Roller Derby","Abilene","ARD","Travel Team","Abilene, TX","http://www.facebook.com/rollerderbyabilene","","2010-05-01","","Womens","USA"
"51512","Åbo B-ajs","","","B Team","","","18439","2014-01-01","","Womens","Europe"
"8003","Acadiana Roller Girls","Acadiana","ARG","Travel Team","Lafayette, LA","http://www.goodtimesrollers.org/","","2010-01-01","","Womens","USA"
"29781","Ace Invaders","","","B Team","","","23426","","","Womens","Australia"
"39957","ACR Stingers","ACR Stingers","ACRS","Travel Team","Lake City and Gainesville, FL","http://www.acrderby.org/stingers/","","2012-03-01","2014-09-29","Junior","USA"
"14248","Adelaide Roller Derby","Adeladies","ADRD","Travel Team","Adelaide, SA, Australia","http://adelaiderollerderby.com.au/teams/","","2007-01-01","","Womens","Australia"
"67731","Adventure Coast Star Stompers Roller Derby","Adventure Coast","ACSS","Travel Team","Coos Bay, OR","","","","","Womens","USA"
"21187","After Shocks","","","Home Team","","","4292","","2013-01-01","Womens","USA"
"24615","Aftershockers","","","B Team","","","23498","","2011-01-01","Womens","USA"
"74667","Aftershocks","","","B Team","","","24211","","","Womens","USA"
"87423","Aftershocks Roller Rebels","Aftershocks","ARR","Travel Team","Marysville WA","","","","","Womens","USA"
"51234","Air Raid Roller Girls","Air Raid","ARRG","Travel Team","Hillsboro, OR","http://airraidrollergirls.weebly.com/","","2013-08-15","2016-02-01","Womens","USA"
"34008","Aire Force 1","Aire Force","AF1","Travel Team","Leeds, UK","https://www.facebook.com/pages/Aire-Force-1/126017717596422","","","","Mens","Europe"
"45296","Airlie Beach Trash Bags","Airlie","ABTB","Travel Team","Airlie Beach, QLD, Australia","https://www.facebook.com/AirlieBeachTrashbags/info","","2012-08-01","","Womens","Australia"
"39012","Alamo City Derby Crew","Alamo City Junior","ACDCJR","Travel Team","San Antonio, TX","http://www.alamocityderby.com/","","2012-09-01","","Junior","USA"
"3422","Alamo City Rollergirls","Alamo City","ACRG","Travel Team","San Antonio, TX","http://www.alamocityrollergirls.com/","","","","Womens","USA"
"34445","Alamogordo Derbal Remedy","Alamogordo","ADR","Travel Team","Alamogordo, NM","https://www.facebook.com/pages/Derbal-Remedy/401088019965671","","","","Womens","USA"
"9248","Albany All Stars Roller Derby","Albany","AASRD","Travel Team","Albany, NY","http://www.albanyallstars.com/","","2006-01-01","","Womens","USA"
"13640","Albany B Team","","","B Team","","","9248","","","Womens","USA"
"85570","Albany Roller Derby League","Albany Roller Derby","ARDL","Travel Team","Albany, Western Australia","https://www.facebook.com/albanyrollerderby/?fref=ts","","","","Womens","Australia"
"17347","Alberni Valley Roller Girls Society","Alberni Valley","AVRGS","Travel Team","Port Alberni, BC, Canada","http://www.albernivalleyrollergirls.com/","","2011-04-01","2014-05-05","Womens","Canada"
"68293","Albuquerque Roller Derby (CoEd)"," Albuquerque Roller Derby(CoEd)"," ABQRD(C)","Travel Team"," Albuquerque, NM","","","2015-01-01","","Coed","USA"
"61086","Albuquerque Roller Derby (Womens)"," Albuquerque Roller Derby(W)"," ABQRD(W)","Travel Team"," Albuquerque, NM","","","2015-01-01","","Womens","USA"
"29625","Alès Roller Derby","Alès","ARD","Travel Team","Alès, France","http://www.facebook.com/pages/Al%C3%A8s-Roller-Derby-Les-Broyeuses-de-Chair/148266621931946","","","","Womens","Europe"
"44776","Alianza Rebelde Roller Derby","Alianza Rebelde","ARRD","Travel Team","La Plata, Buenos Aires, Argentina","https://www.facebook.com/RDAlianzaRebelde/info","","2012-01-01","","Womens",""
"20652","Alicante Roller Derby","Alicante","ARD","Travel Team","Alicante, Spain","http://www.facebook.com/pages/Alicante-Roller-Derby-BRG-Brutal-Roller-Girls/190972087606354","","","","Womens","Europe"
"9884","Alice Capones","","","Home Team","","","8849","","2015-04-01","Womens","Canada"
"58070","All American Roller Derby Team","All American","AARD","Travel Team","","","","","","Junior","USA"
"88274","All Blacks Men's Roller Derby","All Blacks","ABMRD","Travel Team","Mexico","https://www.facebook.com/allblacksrd/","","","","Mens",""
"9084","All City Rollers","All City","ACRD","Travel Team","Lake City, FL","http://www.acrderby.org/","","","","Womens","USA"
"7728","All Star Reserves","","","B Team","","http://arrg.co.uk/teams/cannon-belles/","5912","","","Womens","Europe"
"79213","All Star Rookies","","","B Team","","","5912","2016-01-01","","Womens","Europe"
"60216","All-Blacks Roller Derby","All-Blacks","ABRD","Travel Team","Mexico City, Department Federal, Mexico","","","","2015-11-12","Womens",""
"52283","All-Stars South","","","Exhibition Team","","","","2014-03-29","2014-03-30","Junior","USA"
"10144","All-Stripes","","","B Team","","","3430","","2010-06-01","Womens","USA"
"67565","Allegheny River Rats","","","B Team","","","8731","2015-06-30","","Womens","USA"
"17032","Alley Kats","","","Home Team","","http://www.qcrg.net/people/alley-kats/","3641","","","Womens","USA"
"44685","Alliston Junior Roller Derby","Alliston Jr.","AJRD","Travel Team","Alliston, ON, Canada","http://www.allistonjuniorrollerderby.ca/","","2012-04-01","2015-08-01","Junior","Canada"
"25547","Aloha City Rollers","Aloha City","ACR","Travel Team","Kapolei, HI","http://www.alohacityrollers.com/","","2011-10-23","","Womens","USA"
"19177","Alp'n Rockets Roller Derby","Alp'n Rockets","ARRD","Travel Team","Bolzano, Italy","http://www.facebook.com/AlpnRockets","","","","Womens","Europe"
"28440","Alpen Allianz","","","Exhibition Team","","","","2013-03-08","","Womens","Europe"
"8110","Alpha Betties","","","Home Team","","http://www.mcleancountymissfits.org/alphabetties.html","8109","","2012-01-01","Womens","USA"
"9204","Alpha Dollz","","","Home Team","","","3411","","","Womens","USA"
"13850","Alter Egos","","","B Team","","","8048","","","Womens","USA"
"56161","Amazonas Roller Derby","Amazonas","ARD","Travel Team","Guadalajara, Jalisco, Mexico","https://www.facebook.com/amazonas.rollerderby/info","","2011-10-09","","Womens",""
