id,name,type,location,startDate,endDate,website,hostingTeams
"68773"," Hwy 14 Fall Brawl 2015","Invitational","Wainwright, AB, Canada","2015-09-12","2015-09-13","https://www.facebook.com/events/917292201627836/","53151"
"64878"," Statewide Showdown","Invitational","Glenorchy, TAS, Australia","2015-03-28","2015-11-28","https://www.facebook.com/events/1591054351163107/permalink/1591054354496440/","25113,25261,24096,15327"
"59142","1. Bundesliga 2015","Invitational","Germany","","","",""
"74691","1. Bundesliga 2016","Invitational","Germany","2016-02-01","2016-12-15","https://derbyposition.com/en/ranking/rdd-bundesliga/2016/1/",""
"72137","1789 Hits","Invitational","Paris, France","2015-11-21","2015-11-21","https://www.facebook.com/events/925793087514304/","8058"
"59143","2. Bundesliga 2015","Invitational","Germany","","","",""
"74692","2. Bundesliga 2016","Invitational","Germany","2016-02-01","2016-10-31","https://derbyposition.com/en/ranking/rdd-bundesliga/2016/2/",""
"8817","2006 Bumberbout","Invitational","Seattle, WA","2006-09-02","2006-09-02","http://web.archive.org/web/20060903092840/http://www.bumbershoot.org/lineup.htm?","3403"
"3475","2006 Dust Devil","Championship","Tucson, AZ","2006-02-24","2006-02-26","http://tucsonrollerderby.com/news.php?id=49","3398"
"3477","2007 Dust Devil","Western Regional","Tucson, AZ","2007-02-16","2007-02-18","http://www.tucsonrollerderby.com/dustdevil2007/dd2007_schedule.php?day=all",""
"3473","2007 East Coast Derby Extravaganza","Invitational","Philadelphia, PA","2007-03-17","2007-03-18","http://www.phillyrollerderby.com/old/extravaganza/2007.shtml",""
"9200","2007 Governor's Cup","Invitational","Austin, TX","2007-09-16","2007-09-16","","3408"
"9134","2007 Honky Tonk Stomp","Invitational","Nashville, TN","2007-07-14","2007-07-15","","3445"
"16407","2008 Battle for the Coast","Invitational","","2008-10-18","2008-10-18","",""
"15786","2008 Beast of the East","Invitational","Montreal, QB, Canada","2008-04-19","2008-04-19","","3461"
"3481","2008 East Coast Derby Extravaganza","Invitational","Philadelphia, PA","2008-06-21","2008-06-22","http://www.phillyrollerderby.com/old/extravaganza/index.shtml",""
"3484","2008 Governor's Cup","Invitational","Dallas, TX","2008-09-21","2008-09-21","",""
"16317","2008 Honky Tonk Stomp","Invitational","Knoxville, TN","2008-08-23","2008-08-23","","3456"
"24269","2008 Rolling Along the River","Invitational","Sioux City, IA","2008-11-08","2008-11-08","","8093"
"9370","2008 Rust Riot","Invitational","Seattle, WA","2008-02-02","2008-02-02","","3403"
"10001","2009 Beast of the East","Invitational","Montreal, Quebec","2009-04-25","2009-04-26","http://beast.mtlrd.com/","3461"
"3474","2009 East Coast Derby Extravaganza","Invitational","Philadelphia, PA","2009-06-27","2009-06-28","http://www.phillyrollergirls.com/old/extravaganza/2009.htm",""
"3488","2009 Honky Tonk Stomp","Invitational","Memphis, TN","2009-08-08","2009-08-08","",""
"3487","2009 Rocket City Rumble","Invitational","Huntsville, AL","2009-07-18","2009-07-18","",""
"23954","2009 Rolling Along The River","Invitational","Sioux City, IA","2009-10-10","2009-10-10","","8093"
"18852","2009 South Carolina State Tournament","Invitational","Columbia, South Carolina","2009-04-26","2009-04-26","","7696"
"18204","2010 Battle for the Coast","Invitational","Ventura, CA","2010-05-01","2010-05-02","","8518"
"10003","2010 Beast of the East","Invitational","Montreal, Quebec","2010-04-24","2010-04-25","http://beast.mtlrd.com/","3461"
"16821","2010 Capital Punishment","Invitational","Columbia, South Carolina","2010-04-24","2010-04-24","","7696"
"3497","2010 Clover Cup","Invitational","Fort Worth, TX","2010-03-06","2010-03-07","",""
